File_Name,Sweep,Segment_Type,Burst_Type,Duration,Num_Peaks,Mean_ISI,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv
cell104basal.abf,6,Non-burst,Non-burst,9.5312,0,0.0,-63.459076,2.3037484,-66.798,38.684,5.753109,141.25436,-604.85065,1.3616314,3527.864,-124151.01,340240.03,10.996556,1136.4219
cell104basal.abf,6,Non-burst,Non-burst,0.6742000000000008,0,0.0,-59.066814,4.174621,-63.577,34.618,7.351929,125.10188,-39.83171,14.980727,6688.8086,-123213.0,332425.0,18.5846,1039.1681
cell104basal.abf,6,Non-burst,Non-burst,2.3576999999999995,0,0.0,-62.94467,2.7821438,-65.547,37.589,9.988693,242.00461,-148.41406,5.3318887,4563.94,-130405.0,339620.0,19.720272,1586.5
cell104basal.abf,6,Non-burst,Non-burst,0.9664999999999981,0,0.0,-59.53972,3.8932827,-64.108,32.336,6.049336,107.1943,-57.548008,7.5403624,5962.8667,-128530.01,304597.0,17.334398,1018.4569
cell104basal.abf,6,Non-burst,Non-burst,4.318200000000001,0,0.0,-63.60929,1.9642361,-66.454,26.081,9.524334,291.66162,-274.68207,-20.87143,3342.543,-123216.305,10950.013,-4.4925427,146.19205
cell104basal.abf,7,Non-burst,Non-burst,0.1502,0,0.0,-60.466187,5.128901,-64.921,37.589,7.293689,115.713684,-9.086712,681.032,11713.678,-9389.992,296150.03,20.270761,461.6993
cell104basal.abf,7,Burst,Other,1.1753999999999998,28,0.04174074074074074,-47.274067,8.73145,-56.259,37.589,5.1636996,32.950363,-55.569065,-10.722374,18475.268,-165739.0,263622.03,1.4430008,45.839405
cell104basal.abf,7,Burst,Other,1.3525999999999998,28,0.04487407407407407,-47.13135,8.038238,-56.634,37.183,5.9029336,41.483234,-63.757774,-7.65266,17371.955,-157610.0,251430.02,1.5658536,51.02689
cell104basal.abf,7,Burst,Other,0.37870000000000026,14,0.02223846153846154,-44.235027,9.983066,-56.134,36.808,4.5886216,23.40986,-16.759274,-33.60972,22482.879,-148548.1,225789.0,0.85630476,26.0963
cell104basal.abf,7,Burst,Other,0.6871999999999989,23,0.02651818181818182,-45.16558,9.562037,-58.479,37.433,4.798556,26.189291,-31.04084,-20.026197,21319.725,-168555.0,268627.28,1.0746907,32.25214
cell104basal.abf,7,Burst,Other,0.34380000000000166,16,0.019673333333333334,-42.982716,10.718569,-56.259,38.215,4.203442,19.11997,-14.78482,-44.11573,24782.031,-167935.02,250490.0,0.75768846,21.284756
cell104basal.abf,7,Non-burst,Non-burst,2.3645000000000005,0,0.0,-61.963825,3.3788164,-66.641,37.183,5.00244,104.00179,-146.52281,4.8805246,4574.541,-124151.01,364013.0,22.030825,1914.5126
