File_Name,Sweep,Segment_Type,Duration,Mean,Std,Min,Max,Skewness,Kurtosis,Area
cell104basal.abf,8,Non-burst,0.8279000000000014,-61.08869,6.088079,-66.391,34.806,2.795358,23.632761,-50.584206
cell104basal.abf,8,Non-burst,1.7012000000000018,-62.290382,3.6751792,-67.705,36.401,4.9278603,91.93082,-105.97768
cell104basal.abf,8,Non-burst,2.7150999999999996,-63.336384,3.1944454,-67.048,36.901,6.1020374,111.741806,-171.9739
cell104basal.abf,8,Non-burst,0.9576999999999991,-60.432735,4.2923923,-66.078,32.617,4.9852786,77.76586,-57.87925
cell104basal.abf,8,Non-burst,0.4125000000000014,-55.576626,3.5300057,-61.638,21.797,8.531751,163.34178,-22.928944
cell104basal.abf,9,Non-burst,0.3088,-63.283455,4.0966697,-66.673,36.901,8.812322,169.89189,-19.546818
cell104basal.abf,9,Burst,1.3860000000000001,-47.07381,8.360511,-56.884,36.901,5.4385934,36.01805,-65.25215
cell104basal.abf,9,Burst,0.3759999999999999,-45.1942,9.614151,-57.135,35.807,4.788333,26.026505,-17.000515
cell104basal.abf,9,Burst,0.36540000000000017,-45.824913,9.197997,-55.696,34.243,5.1892257,30.896461,-16.75196
cell104basal.abf,9,Burst,0.15500000000000114,-41.963974,12.342393,-56.572,36.776,3.6031778,13.82292,-6.51148
cell104basal.abf,9,Burst,0.11849999999999916,-44.955345,11.092607,-56.478,34.337,4.6916127,24.138376,-5.3347044
cell104basal.abf,9,Burst,0.3055000000000003,-45.888702,9.18817,-56.071,32.867,5.366642,32.697144,-14.026512
cell104basal.abf,9,Burst,0.7126000000000019,-45.715317,9.499614,-56.728,37.714,4.8775816,27.718777,-32.58434
cell104basal.abf,9,Burst,0.05600000000000094,-46.802402,10.913026,-56.165,34.869,5.524283,32.393864,-2.6287355
cell104basal.abf,9,Non-burst,1.4385000000000001,-61.88759,3.753677,-65.922,35.807,5.759802,105.21219,-89.034584
cell104basal.abf,9,Non-burst,1.9205,-61.81002,3.2843273,-64.89,34.243,7.4152637,150.59184,-118.71524
cell104basal.abf,9,Non-burst,2.740899999999999,-62.594677,2.7165997,-65.891,24.893,6.6773243,141.30286,-171.56784
cell104basal.abf,9,Non-burst,1.9382000000000001,-60.241596,4.313613,-64.765,34.337,2.741296,30.43066,-116.769035
cell104basal.abf,9,Non-burst,0.6553000000000004,-60.757713,4.9792223,-65.297,32.867,4.9148083,64.35775,-39.823532
cell104basal.abf,9,Non-burst,7.688499999999998,-62.576054,3.1362197,-65.828,27.895,3.587907,39.635063,-481.11865
cell104basal.abf,9,Non-burst,1.1012999999999984,-58.26067,2.935322,-62.294,22.923,7.92189,162.99927,-64.16412
