Sweep,Start_Time_s,End_Time_s,Type
28,16.3821,21.4357,Parabolic
29,0.19340000000000002,2.0786000000000002,Parabolic
29,2.6525000000000003,2.8878,Parabolic
29,3.2362,3.8886000000000003,Parabolic
29,6.3589,6.4016,Parabolic
29,6.8359000000000005,8.3015,Parabolic
29,8.6943,10.6843,Parabolic
29,11.0038,11.259,Parabolic
29,14.7392,14.816400000000002,Parabolic
29,15.1217,16.209400000000002,Parabolic
29,18.92,19.052200000000003,Parabolic
29,21.0337,21.2421,Parabolic
