File_Name,Sweep,Segment_Type,Burst_Type,Duration,Num_Peaks,Mean_ISI,Mean,Std,Min,Max,Skewness,Kurtosis,Area
cell104basal.abf,8,Burst,Other,0.5196999999999985,12,0.03538181818181818,-46.87359,8.656108,-55.289,34.806,5.2865334,33.578323,-24.363148
cell104basal.abf,8,Burst,Other,0.3614999999999995,15,0.019707142857142857,-43.82511,10.363533,-56.791,36.401,4.2941203,20.323606,-15.85009
cell104basal.abf,8,Burst,Other,0.5473999999999997,18,0.02972941176470588,-45.207363,9.64762,-56.509,36.901,4.5683036,24.528824,-24.754063
cell104basal.abf,8,Burst,Other,0.14639999999999986,6,0.01838,-43.063053,10.737727,-56.259,32.867,4.305239,20.3938,-6.306853
cell104basal.abf,8,Non-burst,Non-burst,2.3859,0,0.0,-62.189888,3.0529158,-66.422,37.496,7.863936,172.56467,-148.38809
cell104basal.abf,8,Non-burst,Non-burst,2.9769999999999994,0,0.0,-63.809345,2.8979294,-67.048,34.65,7.3393617,149.44467,-189.96332
cell104basal.abf,8,Non-burst,Non-burst,1.4121000000000006,0,0.0,-63.161823,3.6847296,-66.235,36.088,7.782551,144.40327,-89.20024
cell104basal.abf,8,Non-burst,Non-burst,0.9267000000000003,0,0.0,-60.869617,4.816122,-65.203,33.649,4.667518,62.632652,-56.416824
cell104basal.abf,8,Non-burst,Non-burst,0.7858999999999998,0,0.0,-60.67975,4.733001,-65.109,34.181,5.4741898,76.638985,-47.697174
cell104basal.abf,8,Non-burst,Non-burst,0.7992999999999988,0,0.0,-59.368095,4.2325106,-63.42,22.36,5.0546765,70.900116,-47.45497
cell104basal.abf,8,Non-burst,Non-burst,0.8279000000000014,0,0.0,-61.088696,6.0880795,-66.391,34.806,2.7953591,23.63277,-50.5842
cell104basal.abf,8,Non-burst,Non-burst,1.7012000000000018,0,0.0,-62.29039,3.675179,-67.705,36.401,4.927868,91.93087,-105.97768
cell104basal.abf,8,Non-burst,Non-burst,2.7150999999999996,0,0.0,-63.336384,3.1944451,-67.048,36.901,6.1020384,111.741844,-171.9739
cell104basal.abf,8,Non-burst,Non-burst,0.9576999999999991,0,0.0,-60.432735,4.2923923,-66.078,32.617,4.9852796,77.76587,-57.879246
cell104basal.abf,8,Non-burst,Non-burst,0.4125000000000014,0,0.0,-55.576626,3.5300057,-61.638,21.797,8.531751,163.34178,-22.928944
cell104basal.abf,9,Non-burst,Non-burst,0.3088,0,0.0,-63.283455,4.0966697,-66.673,36.901,8.812322,169.89189,-19.546818
cell104basal.abf,9,Burst,Other,1.3860000000000001,31,0.04107,-47.073803,8.360511,-56.884,36.901,5.43859,36.01803,-65.25217
cell104basal.abf,9,Burst,Other,0.3759999999999999,12,0.025745454545454547,-45.1942,9.614151,-57.135,35.807,4.788333,26.026505,-17.000515
cell104basal.abf,9,Burst,Other,0.36540000000000017,10,0.028588888888888886,-45.824913,9.197997,-55.696,34.243,5.1892257,30.896461,-16.75196
cell104basal.abf,9,Burst,Other,0.15500000000000114,9,0.0149375,-41.963974,12.342393,-56.572,36.776,3.6031778,13.82292,-6.51148
cell104basal.abf,9,Burst,Other,0.11849999999999916,4,0.014433333333333333,-44.955345,11.092607,-56.478,34.337,4.6916127,24.138376,-5.3347044
cell104basal.abf,9,Burst,Other,0.3055000000000003,8,0.024385714285714285,-45.888702,9.18817,-56.071,32.867,5.366642,32.697144,-14.026512
