Burst_Number,Type,Node1_ID,Node2_ID
1,Parabolic,34,35
1,Parabolic,34,36
1,Parabolic,34,40
1,Parabolic,34,109
1,Parabolic,34,114
1,Parabolic,34,116
1,Parabolic,34,118
1,Parabolic,35,36
1,Parabolic,36,37
1,Parabolic,36,38
1,Parabolic,36,39
1,Parabolic,36,40
1,Parabolic,36,114
1,Parabolic,36,116
1,Parabolic,36,118
1,Parabolic,37,38
1,Parabolic,37,39
1,Parabolic,37,40
1,Parabolic,38,39
1,Parabolic,38,40
1,Parabolic,39,40
1,Parabolic,40,41
1,Parabolic,40,45
1,Parabolic,40,46
1,Parabolic,40,49
1,Parabolic,40,62
1,Parabolic,40,75
1,Parabolic,40,83
1,Parabolic,40,84
1,Parabolic,40,89
1,Parabolic,40,92
1,Parabolic,40,99
1,Parabolic,40,100
1,Parabolic,40,107
1,Parabolic,40,109
1,Parabolic,40,114
1,Parabolic,40,116
1,Parabolic,40,118
1,Parabolic,41,42
1,Parabolic,41,45
1,Parabolic,41,46
1,Parabolic,41,49
1,Parabolic,41,62
1,Parabolic,41,75
1,Parabolic,41,83
1,Parabolic,41,84
1,Parabolic,41,89
1,Parabolic,41,92
1,Parabolic,41,99
1,Parabolic,41,100
1,Parabolic,41,107
1,Parabolic,41,109
1,Parabolic,41,114
1,Parabolic,41,116
1,Parabolic,41,118
1,Parabolic,42,43
1,Parabolic,42,44
1,Parabolic,42,45
1,Parabolic,42,46
1,Parabolic,42,99
1,Parabolic,42,100
1,Parabolic,42,107
1,Parabolic,42,109
1,Parabolic,42,114
1,Parabolic,42,116
1,Parabolic,42,118
1,Parabolic,43,44
1,Parabolic,43,45
1,Parabolic,43,46
1,Parabolic,44,45
1,Parabolic,45,46
1,Parabolic,46,47
1,Parabolic,46,48
1,Parabolic,46,49
1,Parabolic,46,62
1,Parabolic,46,83
1,Parabolic,46,84
1,Parabolic,46,89
1,Parabolic,46,92
1,Parabolic,46,99
1,Parabolic,46,100
1,Parabolic,46,107
1,Parabolic,46,109
1,Parabolic,46,114
1,Parabolic,46,116
1,Parabolic,46,118
1,Parabolic,47,48
1,Parabolic,48,49
1,Parabolic,48,118
1,Parabolic,49,50
1,Parabolic,49,51
1,Parabolic,49,54
1,Parabolic,49,62
1,Parabolic,49,83
1,Parabolic,49,84
1,Parabolic,49,89
1,Parabolic,49,92
1,Parabolic,49,99
1,Parabolic,49,100
1,Parabolic,49,107
1,Parabolic,49,109
1,Parabolic,49,114
1,Parabolic,49,116
1,Parabolic,49,118
1,Parabolic,50,51
1,Parabolic,51,52
1,Parabolic,51,53
1,Parabolic,51,54
1,Parabolic,51,62
1,Parabolic,51,83
1,Parabolic,51,84
1,Parabolic,51,89
1,Parabolic,51,92
1,Parabolic,51,99
1,Parabolic,51,100
1,Parabolic,51,107
1,Parabolic,51,109
1,Parabolic,51,114
1,Parabolic,51,116
1,Parabolic,51,118
1,Parabolic,52,53
1,Parabolic,52,54
