Sweep,Segment_Type,Start,End,Mean_ISI,Median_ISI,Std_ISI,Kurtosis,Skewness,CMA_Threshold,CMA_Valley_Index,CMA_Peak_Index
2,Burst,5.8635,10.6932,0.038949193548387086,0.028350000000000097,0.03089389880252413,6.2792434865037965,2.454549852697015,0.024,56.0,8.0
2,Burst,11.3833,12.0212,0.09112857142857145,0.07340000000000124,0.03780803823397922,-0.8138460075054259,0.8045824759854081,0.0,35.0,0.0
2,Burst,12.5536,13.1263,0.09545000000000019,0.0677500000000002,0.07425677859068955,-1.2542229992926548,0.5874553670358036,0.0,64.0,0.0
2,Non-burst,2.3242,5.8635,1.7696500000000002,1.7696500000000002,1.3885500000000002,-2.0,0.0,0.0,924.0,0.0
2,Non-burst,10.6932,11.3833,0.3450500000000005,0.3450500000000005,0.04124999999999979,-2.0,0.0,0.0,25.0,0.0
2,Non-burst,12.0212,12.5536,0.5323999999999991,0.5323999999999991,0.0,,,0.0,0.0,0.0
2,Non-burst,13.1263,21.4999,,,,,,,,
3,Non-burst,0.0,0.0246,,,,,,,,
3,Burst,0.0246,3.6293,0.07669574468085107,0.06010000000000004,0.040329119184934925,4.333398369905848,2.058453974526992,0.0,63.0,0.0
3,Burst,4.6089,4.7912,0.18229999999999968,0.18229999999999968,0.0,,,0.0,0.0,0.0
3,Burst,6.7927,11.6748,0.045627102803738315,0.043199999999998795,0.014768934117624718,-0.20405446210394151,0.2736844758163214,0.045,1.0,15.0
3,Burst,12.02,12.9671,0.06314000000000004,0.06009999999999849,0.019731423330987867,-0.3893693984915618,0.21466577430670258,0.0,4.0,0.0
3,Burst,14.5543,18.2075,0.06298620689655172,0.04985000000000017,0.0355856589105094,0.6338371006825674,0.9139974718751408,0.0,8.0,0.0
3,Burst,21.22,21.4968,0.02306666666666679,0.020850000000001145,0.013415310490463928,-0.8246548667056954,0.514313236500148,0.0,13.0,0.0
3,Non-burst,3.6293,4.6089,0.9796,0.9796,0.0,,,0.0,0.0,0.0
3,Non-burst,4.7912,6.7927,2.0015,2.0015,0.0,,,0.0,0.0,0.0
3,Non-burst,11.6748,12.02,0.3452000000000002,0.3452000000000002,0.0,,,0.0,0.0,0.0
3,Non-burst,12.9671,14.5543,1.5871999999999993,1.5871999999999993,0.0,,,0.0,0.0,0.0
3,Non-burst,18.2075,21.22,1.5062499999999996,1.5062499999999996,1.1834499999999988,-2.0,0.0,0.0,787.0,0.0
3,Non-burst,21.4968,21.4999,,,,,,,,
4,Non-burst,0.0,0.0292,,,,,,,,
4,Burst,0.0292,2.2249,0.027446249999999995,0.019450000000000023,0.02766186880775592,33.637546558679304,5.260015064002093,0.003,72.0,1.0
4,Burst,2.5761,3.0785,0.2512000000000001,0.2512000000000001,0.03720000000000012,-2.0,0.0,0.0,23.0,0.0
4,Burst,3.6848,4.3493,0.03908823529411767,0.03699999999999992,0.012877791295502468,-0.5268383522887801,0.6350814124204883,0.0,15.0,0.0
4,Burst,5.6304,8.0698,0.033416438356164396,0.021600000000000286,0.037779754720838866,19.483880180580567,4.043607294934261,0.012,84.0,4.0
4,Burst,8.4014,8.7859,0.1922499999999996,0.1922499999999996,0.027950000000000585,-2.0,0.0,0.0,17.0,0.0
4,Burst,10.095,12.4099,0.050323913043478254,0.04234999999999989,0.03903319203370703,14.4241687333311,3.6517317944899164,0.027,76.0,9.0
4,Burst,14.118,15.3615,0.06908333333333329,0.07209999999999983,0.048343082350126465,2.9283856394435075,1.4462930303326569,0.0,69.0,0.0
4,Burst,15.714,16.1427,0.025217647058823588,0.024499999999999744,0.005136287889828116,-0.7958355116739639,0.1538721223254348,0.006,1.0,2.0
4,Burst,16.5296,16.581,0.0257000000000005,0.0257000000000005,0.009899999999998244,-2.0,0.0,0.0,5.0,0.0
4,Burst,16.9403,17.2606,0.045757142857142795,0.04210000000000136,0.01801157224380757,0.43244416742701564,0.8142467566535124,0.0,4.0,0.0
4,Burst,18.7433,21.4776,0.05258269230769226,0.04660000000000153,0.0331634223966581,0.498258580438137,0.8795512978988843,0.0,49.0,0.0
4,Non-burst,2.2249,2.5761,0.35119999999999996,0.35119999999999996,0.0,,,0.0,0.0,0.0
4,Non-burst,3.0785,3.6848,0.6063000000000001,0.6063000000000001,0.0,,,0.0,0.0,0.0
4,Non-burst,4.3493,5.6304,1.2810999999999995,1.2810999999999995,0.0,,,0.0,0.0,0.0
4,Non-burst,8.0698,8.4014,0.3315999999999999,0.3315999999999999,0.0,,,0.0,0.0,0.0
4,Non-burst,8.7859,10.095,0.43636666666666696,0.4672999999999998,0.05394944135227208,-1.499999999999999,-0.6715610604807759,0.0,34.0,0.0
4,Non-burst,12.4099,14.118,1.7081,1.7081,0.0,,,0.0,0.0,0.0
4,Non-burst,15.3615,15.714,0.3525000000000009,0.3525000000000009,0.0,,,0.0,0.0,0.0
4,Non-burst,16.1427,16.5296,0.38689999999999714,0.38689999999999714,0.0,,,0.0,0.0,0.0
4,Non-burst,16.581,16.9403,0.35930000000000106,0.35930000000000106,0.0,,,0.0,0.0,0.0
4,Non-burst,17.2606,18.7433,1.4827000000000012,1.4827000000000012,0.0,,,0.0,0.0,0.0
4,Non-burst,21.4776,21.4999,,,,,,,,
5,Non-burst,0.0,7.2292,6.8941,6.8941,0.0,,,0.0,0.0,0.0
5,Burst,7.2292,11.457,0.053516455696202545,0.04209999999999958,0.04045365039741023,10.585072173567578,2.8603440839134113,0.0,85.0,0.0
5,Burst,12.4948,12.7184,0.11180000000000057,0.11180000000000057,0.01699999999999946,-2.0,0.0,0.0,9.0,0.0
5,Burst,13.0194,13.422,0.2013000000000007,0.2013000000000007,0.06560000000000077,-2.0,0.0,0.0,42.0,0.0
5,Burst,14.9771,15.2256,0.04141666666666666,0.03049999999999997,0.031420662875814125,0.21506171472693625,1.2664900097244083,0.0,29.0,0.0
