File_Name,Sweep,Segment_Type,Duration,Num_Peaks,Mean_ISI,CV_ISI,First_Spike_Latency,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv
cell104basal.abf,6,Non-burst,10.4161,19,0.048100000000000004,0.6546362738207172,-0.4436,-62.053276,5.635085,-66.798,38.684,4.727169,43.139557,-646.36194,4.3393984,5058.319,-128034.34,374026.1,5.851726,788.54834
cell104basal.abf,6,Non-burst,1.745800000000001,25,0.04395416666666666,0.4415916025326514,-10.9202,-51.165848,9.328836,-63.577,34.618,3.1068418,20.445084,-89.33285,23.572369,13758.621,-125612.04,302108.44,1.0198066,73.12714
cell104basal.abf,6,Non-burst,2.5580999999999996,4,0.0608,0.39247111082231456,-12.6991,-61.690495,5.490221,-65.547,37.589,5.0742764,50.216503,-157.81953,14.240792,5705.582,-124337.32,364286.12,15.729484,1147.4814
cell104basal.abf,6,Non-burst,1.624699999999999,15,0.045707142857142856,0.43010708814773907,-15.315,-54.108307,8.841204,-64.108,32.336,2.9483862,19.536568,-87.91214,19.789923,11320.135,-124585.79,353399.9,2.6535437,151.19325
cell104basal.abf,6,Non-burst,4.510200000000001,4,0.05896666666666667,0.7512091631779708,-16.9746,-62.886898,4.24458,-66.454,26.081,6.379792,76.41634,-283.63657,-19.540113,3483.9717,-125197.31,142527.22,-2.9999008,850.8133
cell104basal.abf,7,Non-burst,0.1502,0,0.0,0.0,0.1502,-60.466187,5.128901,-64.921,37.589,7.293689,115.713684,-9.086712,824.3415,13615.389,-3424.3933,377602.88,22.265524,535.0276
cell104basal.abf,7,Burst,0.05410000000000001,7,0.006516666666666666,0.19418822785399686,-0.1443,-37.601734,17.02212,-56.259,37.589,2.1046872,3.9608846,-2.0405502,-447.03714,38871.523,-143264.98,155530.27,-0.3370845,3.841134
cell104basal.abf,7,Burst,0.040899999999999714,5,0.0062499999999999995,0.08799999999999991,-3.6834000000000002,-38.43124,17.439037,-56.634,37.183,2.1585188,4.167432,-1.574213,-685.2674,40891.426,-135698.28,157839.94,-0.28997788,3.7523494
cell104basal.abf,7,Burst,0.040599999999999525,5,0.006424999999999999,0.17098500033244998,-7.0528,-38.18759,17.369709,-56.134,36.808,2.1280441,4.0236406,-1.5528271,-646.84454,40600.875,-135893.94,154506.14,-0.31836814,3.5748997
cell104basal.abf,7,Burst,0.05289999999999928,7,0.0061666666666666675,0.055913948285343816,-12.6263,-38.38537,17.746243,-58.479,37.433,2.0119889,3.5434513,-2.0368357,-579.8966,40137.793,-149550.06,165209.73,-0.37089932,4.0934396
cell104basal.abf,7,Burst,0.051300000000001234,7,0.00615,0.10816369671260205,-19.484199999999998,-37.52142,17.463837,-56.259,38.215,2.0383751,3.562121,-1.931145,-520.96313,40289.395,-137192.52,159717.33,-0.3469198,3.4221911
cell104basal.abf,7,Non-burst,3.4858000000000002,21,0.055515,0.8114207685199598,-0.1933,-57.387264,8.4673195,-66.641,37.183,2.81365,18.56771,-200.04877,13.04033,9039.912,-131501.33,331945.56,2.4156578,203.4509
cell104basal.abf,7,Non-burst,3.3280000000000003,23,0.05908181818181819,0.613855933439972,-3.7191,-56.700245,9.119745,-66.204,36.808,2.4209204,14.627882,-188.70662,12.987008,9541.435,-127470.08,315925.4,1.8965633,165.92967
cell104basal.abf,7,Non-burst,5.535000000000001,9,0.040475000000000004,0.4798487651913008,-7.085299999999999,-61.799923,5.478209,-66.798,37.433,4.723341,43.184387,-342.0713,8.043933,4870.012,-121023.67,356741.8,10.747474,1077.7238
cell104basal.abf,7,Non-burst,6.802199999999999,16,0.041473333333333334,0.554098093728564,-12.6753,-61.874363,6.1931415,-66.391,24.58,4.3990827,35.0794,-420.8834,3.3807821,5514.4263,-127458.6,338827.66,4.2663383,569.12036
cell104basal.abf,7,Non-burst,1.9588999999999999,9,0.03471249999999999,0.23972412766067155,-19.5262,-60.15187,7.970335,-65.484,23.298,3.4922009,21.142141,-117.83493,-39.679134,7276.2954,-119782.695,129735.86,-0.8198893,183.63094
cell104basal.abf,8,Non-burst,0.9917,0,0.0,0.0,0.9917,-64.09942,2.5486126,-65.922,35.15,16.245401,522.94037,-63.572285,122.65491,4529.63,-4884.014,271499.5,47.05636,2389.611
cell104basal.abf,8,Burst,0.05059999999999998,7,0.006000000000000001,0.1312334645668634,-0.9853000000000001,-37.277653,17.194979,-56.384,35.15,1.9455719,3.179751,-1.8923161,-546.28564,39510.44,-153616.03,161562.55,-0.43436742,3.791143
cell104basal.abf,8,Burst,0.026200000000000223,3,0.0063,0.03174603174603162,-4.0809,-38.544277,18.71935,-55.821,37.496,2.1760283,4.0466228,-1.0163726,-842.90045,44654.55,-134929.47,158464.11,-0.23705657,3.2103572
cell104basal.abf,8,Burst,0.04860000000000042,7,0.005883333333333333,0.09331257275921012,-7.3027999999999995,-37.12347,17.390465,-56.853,35.557,1.8967615,2.9650097,-1.8102536,-551.83405,40323.676,-145228.42,157019.38,-0.40294057,3.3999195
cell104basal.abf,8,Burst,0.0389999999999997,5,0.0062250000000000005,0.10556979460317205,-9.9138,-37.797283,17.527683,-56.29,36.088,2.0374868,3.5804539,-1.4802036,-703.6828,39964.984,-137557.72,152752.84,-0.36414197,3.574535
cell104basal.abf,8,Burst,0.020899999999999253,2,0.0068000000000000005,0.0,-11.2828,-39.187473,18.635326,-55.915,33.649,2.2114182,4.136023,-0.8253542,-1000.16547,43609.19,-131973.39,146343.44,-0.33116615,3.4008698
cell104basal.abf,8,Burst,0.023099999999999454,2,0.007699999999999999,0.0,-12.2897,-38.668705,16.533707,-53.976,26.675,2.2627523,4.538876,-0.8952092,-555.6301,37680.547,-113847.625,123035.36,-0.29980907,3.4704766
cell104basal.abf,8,Burst,0.027899999999998926,3,0.00685,0.08029197080291972,-14.1309,-38.748325,17.602898,-55.289,34.806,2.242147,4.497184,-1.083125,-1016.85504,40936.17,-128166.43,145381.12,-0.20773871,3.5164032
cell104basal.abf,8,Burst,0.047100000000000364,6,0.00648,0.05968851730189423,-16.3518,-38.168854,17.423883,-56.791,36.401,2.0588124,3.6656551,-1.8039309,-574.2851,38616.324,-135905.58,154258.92,-0.39744577,3.7496572
cell104basal.abf,8,Burst,0.04649999999999821,6,0.00634,0.09066314109274397,-19.429100000000002,-37.939934,17.2059,-56.509,36.901,2.0692785,3.8234262,-1.7664193,-667.61194,39600.77,-137836.38,157341.12,-0.31680116,3.7692575
cell104basal.abf,8,Non-burst,3.0454,15,0.04629285714285714,0.5759361354336358,-1.0309,-58.62035,8.176158,-66.422,37.496,3.0567157,18.96463,-178.53073,15.139525,8168.446,-126427.07,338167.25,3.772789,281.2324
cell104basal.abf,8,Non-burst,3.1944999999999997,8,0.029885714285714286,0.49526002554049975,-4.1056,-62.448566,6.252944,-67.048,34.65,4.7822585,39.024117,-199.49445,11.247732,6055.111,-120884.21,382710.84,10.797926,857.9207
cell104basal.abf,8,Non-burst,2.5637,23,0.05186363636363636,0.6664454013307479,-7.3464,-55.868034,10.002353,-66.235,36.088,2.129397,11.723897,-143.23683,17.859852,10762.923,-126872.7,323219.12,1.7755473,131.54095
cell104basal.abf,8,Non-burst,1.3312000000000008,11,0.03952,0.4909895451192227,-9.9504,-55.988834,9.580266,-65.203,33.649,2.4093418,13.0701065,-74.540146,31.150642,10127.907,-119909.18,257316.47,2.1994922,134.73492
cell104basal.abf,8,Non-burst,0.9855,8,0.13799999999999998,1.922638081404426,-11.3017,-57.36444,8.990362,-65.109,34.181,3.2361853,19.571438,-56.54047,21.885324,10214.723,-153469.11,180001.44,1.2007018,113.313095
cell104basal.abf,8,Non-burst,1.8180000000000014,10,0.10891111111111113,2.2440167795023678,-12.3105,-58.392815,8.131253,-66.391,34.806,3.2788887,22.22007,-106.16641,20.670383,8887.14,-148325.16,312498.66,4.2647967,250.57025
cell104basal.abf,8,Non-burst,2.1930000000000014,9,0.0603,0.6602055451296792,-14.1569,-58.936558,7.8940153,-67.705,36.401,2.9011247,19.30375,-129.25623,20.401281,7712.7876,-126523.555,348146.94,6.601499,408.07336
cell104basal.abf,8,Non-burst,3.0294999999999987,9,0.0376625,0.48699216658584416,-16.3933,-61.400078,6.9996276,-67.048,36.901,3.8240402,26.577757,-186.02005,15.088211,6396.485,-120706.64,346551.4,7.915472,592.5586
cell104basal.abf,8,Non-burst,2.017500000000002,20,0.08381578947368422,2.4824550703169006,-19.4699,-54.57027,9.018566,-66.078,32.867,2.8968601,18.33732,-110.09848,-36.625515,10807.843,-153316.58,184631.73,-0.011717245,92.585884
cell104basal.abf,9,Non-burst,0.3088,0,0.0,0.0,0.3088,-63.283455,4.0966697,-66.673,36.901,8.812322,169.89189,-19.546818,404.72992,9342.368,-3325.7336,365062.88,31.249256,1057.5903
cell104basal.abf,9,Burst,0.06669999999999998,8,0.007171428571428572,0.24332161728450158,-0.3023,-37.783062,16.171755,-56.884,36.901,2.14886,4.3244653,-2.5263367,-387.17834,36048.008,-136268.6,160297.81,-0.36998326,4.4473476
cell104basal.abf,9,Burst,0.03639999999999999,4,0.0070666666666666655,0.048103957675403715,-3.1251,-39.18426,17.604195,-57.135,35.807,2.2491853,4.512631,-1.4326224,-672.7592,40277.035,-132453.17,156077.12,-0.2960411,3.9559422
cell104basal.abf,9,Burst,0.032999999999999474,3,0.00845,0.04142011834319553,-5.421,-40.589294,16.698252,-55.696,34.243,2.5958228,6.377039,-1.3416997,-723.3235,40509.957,-137849.39,154522.61,-0.13488702,4.9887767
cell104basal.abf,9,Burst,0.04870000000000019,5,0.007824999999999999,0.17296712694746524,-8.527999999999999,-39.34102,16.708008,-56.572,36.776,2.4250262,5.552705,-1.9223937,-469.08234,38210.71,-141731.52,158652.23,-0.30403292,4.8322406
cell104basal.abf,9,Burst,0.01670000000000016,1,0.0,0.0,-11.406500000000001,-39.438507,16.861443,-53.945,28.02,2.4729292,5.479697,-0.664881,-385.58325,38879.15,-114981.49,123474.88,-0.14026506,3.8783846
cell104basal.abf,9,Burst,0.046400000000001995,6,0.005900000000000001,0.028361356831663576,-19.389999999999997,-38.052853,17.656204,-56.728,37.714,2.0783534,3.7990127,-1.7720202,-578.9792,41177.402,-143017.05,164404.53,-0.38285893,3.820095
cell104basal.abf,9,Non-burst,2.7578,23,0.05906818181818181,0.5951460961251268,-0.3557,-55.026665,9.230796,-65.922,35.807,2.347984,14.9633465,-151.7604,15.988141,10464.182,-129116.125,326357.47,1.8599342,140.46616
cell104basal.abf,9,Non-burst,2.2601,8,0.046657142857142855,0.5565882953353467,-3.1567000000000003,-59.41103,7.167899,-64.89,34.243,3.6467104,26.070333,-134.28313,17.778307,6906.511,-122086.69,253091.0,4.039558,317.03598
cell104basal.abf,9,Non-burst,3.0732999999999997,7,0.05279999999999999,0.5198544520205468,-5.4472,-60.839424,6.210091,-65.891,24.893,4.1528606,33.564514,-186.97949,4.393317,5805.418,-126520.68,317553.4,7.0136714,626.2796
cell104basal.abf,9,Non-burst,2.829600000000001,11,0.27996999999999994,2.0856593246243498,-8.5662,-59.016655,6.928071,-65.297,34.337,4.054212,34.406998,-167.00154,9.142038,7682.981,-157701.86,206146.72,2.2743728,255.42374
cell104basal.abf,9,Non-burst,7.9659999999999975,6,0.05282,0.6971783212293873,-11.4177,-62.012653,4.517046,-65.828,27.895,4.5720644,47.308907,-493.99515,3.1260726,3561.4556,-125227.09,365432.03,18.434029,2422.297
cell104basal.abf,9,Non-burst,2.0564,19,0.10043333333333333,2.4321529013403342,-19.4278,-53.974995,8.061171,-62.294,34.869,3.925693,28.995481,-110.99716,-38.038208,10959.045,-150577.39,187691.05,0.13160646,100.65233
cell104basal.abf,10,Non-burst,8.1454,0,0.0,0.0,8.1454,-63.434124,1.4436307,-66.016,37.026,11.106565,601.8283,-516.70135,14.924487,1728.8964,-4492.779,298981.8,126.49395,18617.393
cell104basal.abf,10,Burst,0.06240000000000023,8,0.006942857142857142,0.2937562593849814,-8.1395,-37.897556,16.729944,-56.196,37.026,2.1221097,3.9799585,-2.3711114,-464.1185,38709.457,-159733.19,161106.03,-0.5404363,4.3597555
cell104basal.abf,10,Non-burst,13.2921,19,0.051938888888888896,0.48308171166227915,-8.185400000000001,-62.033,4.9381404,-66.016,26.894,5.459226,56.817825,-824.5525,-6.0764785,4317.8774,-129816.16,147942.45,-0.4509443,617.2075
cell104basal.abf,11,Non-burst,7.4501,0,0.0,0.0,7.4501,-63.516575,1.2912995,-65.922,38.528,16.760199,1036.9244,-473.21002,16.668295,1882.3868,-5928.996,323663.84,127.52567,18749.178
cell104basal.abf,11,Burst,0.08560000000000034,9,0.007750000000000001,0.3649583386769279,-7.4441,-38.724804,15.139644,-56.916,38.528,2.522158,6.2675962,-3.3216615,-216.43823,35799.742,-161465.62,166527.89,-0.40726292,6.12838
cell104basal.abf,11,Burst,0.0843999999999987,9,0.007325,0.2731868192615942,-15.6015,-39.054585,15.271091,-56.697,38.309,2.484612,6.0422277,-3.2988603,-303.38107,35863.01,-161467.78,163226.4,-0.3915998,6.0753374
cell104basal.abf,11,Burst,0.05450000000000088,5,0.008275000000000001,0.18922615304881704,-19.3593,-39.86861,15.860422,-56.29,37.683,2.6692226,7.0477333,-2.179586,-354.2626,37166.23,-144149.56,162995.08,-0.2591402,5.8443985
cell104basal.abf,11,Non-burst,8.0731,29,0.05674285714285715,0.7212605373981953,-7.5099,-59.472763,7.1057324,-67.204,38.309,3.5640218,27.660309,-480.13837,4.75217,7126.6885,-139989.17,324694.5,2.0816545,309.18552
cell104basal.abf,11,Non-burst,3.6755000000000013,23,0.054827272727272724,0.5155858650015943,-15.6709,-56.347736,8.134971,-65.453,37.683,3.0466127,21.994402,-207.11453,10.549652,9404.345,-132554.19,359169.7,2.3500173,203.22337
cell104basal.abf,11,Non-burst,2.076699999999999,9,0.044937500000000005,0.581591546270332,-19.4033,-58.607323,7.2874637,-64.515,26.269,3.7226024,27.47833,-121.71336,-40.1976,7434.498,-127393.22,141547.14,-0.7707929,196.93837
cell105basal.abf,0,Non-burst,21.4999,0,0.0,0.0,21.4999,-68.11202,0.98505026,-71.176,-64.609,0.010811381,-0.5334661,-1464.4014,-0.09820393,362.49994,-2375.9429,2170.685,0.018575754,0.22039366
cell105basal.abf,1,Non-burst,2.3455,0,0.0,0.0,2.3455,-69.56113,1.5752001,-71.176,44.845,29.600578,1681.656,-163.16136,60.25839,4029.6438,-17530.537,458180.7,92.23348,9261.97
