File_Name,Sweep,Segment_Type,Burst_Type,Duration,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv
cell107basal.abf,7,Non-burst,Non-burst,0.33009999999999995,-51.99536,5.6953006,-65.766,27.426,4.796005,63.65621,-17.17157,2.5598304,8136.4917,-87246.0,274253.6,17.846773,619.7312
cell107basal.abf,7,Non-burst,Non-burst,1.8731000000000002,-51.989098,4.390413,-65.078,29.677,5.644842,95.353584,-97.38872,2.3207483,7220.41,-90375.59,345870.0,22.472664,1054.799
cell107basal.abf,7,Non-burst,Non-burst,0.5672999999999995,-51.518505,4.160625,-64.39,28.52,5.7505093,104.651245,-29.234446,-0.27498677,6610.499,-77247.0,262688.0,20.199434,855.01624
cell107basal.abf,7,Non-burst,Non-burst,0.3915999999999995,-50.713978,5.1873837,-64.14,28.301,5.365965,78.45173,-19.867437,-3.0337079,7461.9126,-76617.5,259245.02,17.906845,653.74097
cell107basal.abf,7,Non-burst,Non-burst,8.5272,-52.404102,4.078612,-66.892,32.586,5.985796,107.81407,-446.86826,-0.3411451,6642.3755,-96002.01,362139.97,21.962914,1072.7139
cell107basal.abf,7,Non-burst,Non-burst,0.4939,-52.7213,4.3086977,-64.984,25.393,4.962634,81.24192,-26.040915,-27.294426,6536.939,-85686.2,323980.0,23.912628,1258.4944
cell107basal.abf,7,Non-burst,Non-burst,2.7650000000000006,-52.036407,4.2061243,-65.046,29.771,5.3478136,94.12667,-143.88873,0.91608727,6678.7964,-87870.0,348370.0,22.296535,1074.9689
cell107basal.abf,7,Non-burst,Non-burst,0.34240000000000137,-52.62377,5.8298936,-65.453,28.27,4.257885,53.676277,-18.026402,-3.9281723,7914.595,-91311.99,270193.0,16.42147,585.24097
cell107basal.abf,7,Non-burst,Non-burst,2.6232000000000006,-52.47025,4.8262386,-66.141,29.552,4.948573,76.022026,-137.6436,-34.22652,7477.3784,-94120.0,346810.0,20.33377,933.4762
cell107basal.abf,8,Non-burst,Non-burst,0.2344,-50.51886,2.7531538,-55.196,11.602,5.86467,116.69035,-11.839512,278.95435,7926.718,-12509.995,317100.0,28.707779,1104.5627
cell107basal.abf,8,Burst,Parabolic,0.47180000000000005,-52.263702,6.298338,-65.703,29.115,4.3657136,49.318436,-24.665955,-8.353116,9154.985,-91623.0,302710.0,14.7216015,476.22482
cell107basal.abf,8,Burst,Parabolic,0.21659999999999968,-51.391792,6.3582673,-64.734,28.427,3.9708116,44.684128,-11.133624,-62.83603,9417.5625,-91626.01,311780.0,16.282734,579.89246
