File_Name,Sweep,Segment_Type,Burst_Type,Duration,Num_Peaks,Mean_ISI,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv,UMAP1,UMAP2
cell107basal.abf,8,Non-burst,Non-burst,2.1327999999999996,6,0.3162,-52.217896,5.42265,-66.047,28.301,4.2894444,58.412685,-111.3745,-35.014065,7977.95,-94130.0,317410.0,16.321997,639.6526,8.961002,2.607998
cell107basal.abf,10,Burst,Other,0.8224999999999998,2,0.2756,-51.24194,5.5322247,-62.889,24.33,3.7782953,44.873856,-42.14854,-9.392031,8207.201,-86003.99,296460.0,17.531567,645.01465,8.99914,2.4613764
cell107basal.abf,10,Non-burst,Non-burst,8.608600000000001,14,0.6002923076923078,-51.79828,3.8027241,-66.61,25.393,5.499059,101.82655,-445.91443,-8.722095,6114.112,-96004.0,324290.03,19.16944,905.0193,9.170545,3.1996398
cell209basal.abf,1,Burst,Other,0.09299999999999997,2,0.018000000000000002,-44.213627,11.117139,-60.387,44.907,5.228828,34.42481,-4.1206245,-33.29032,33787.23,-200145.0,397160.0,3.9231455,66.77826,6.529069,-1.8324308
cell209basal.abf,3,Burst,Other,0.05489999999999995,4,0.0095,-40.442303,16.293037,-58.354,40.842,3.123143,10.846633,-2.2281199,-105.95628,51340.914,-197012.02,358690.0,1.9845603,19.01267,2.3270335,-4.537066
cell209basal.abf,4,Burst,Square Wave,0.08689999999999998,7,0.013083333333333334,-41.153797,12.90198,-57.885,37.308,3.8292406,17.641394,-3.5839486,-37.422325,38461.793,-176062.02,333051.0,2.2986822,29.387215,3.1754098,-3.6745672
cell209basal.abf,4,Burst,Square Wave,0.08419999999999916,4,0.012000000000000002,-41.5279,13.170979,-57.885,37.496,3.7959309,17.147104,-3.4999967,-95.56465,39216.11,-169497.98,352747.0,2.4782257,30.192795,3.3380334,-3.6713047
cell209basal.abf,5,Burst,Other,0.08039999999999736,5,0.009525,-40.26079,14.1128845,-57.166,36.151,3.3670173,12.930968,-3.2402215,-89.96256,41576.973,-160736.02,296770.03,2.0806925,21.402523,3.0340602,-3.6769624
cell21basal.abf,2,Burst,Other,0.05930000000000035,2,0.013000000000000001,-45.87056,11.404551,-61.732,42.843,5.1305537,32.70853,-2.7287078,-8.431598,48999.92,-313659.0,455950.03,1.4524323,43.477303,-5.292867,6.9369183
cell21basal.abf,3,Burst,Other,0.03950000000000031,2,0.010100000000000001,-45.041473,14.080623,-62.294,43.375,4.118706,20.169508,-1.7877312,-125.898735,58988.266,-318979.0,475660.0,1.3994619,29.466057,-5.2565413,7.028485
cell21basal.abf,4,Burst,Square Wave,0.0636000000000001,3,0.012399999999999998,-45.226402,12.068195,-61.388,42.562,4.539312,25.823963,-2.8849468,-72.78272,51360.58,-300844.0,368710.03,0.78497314,27.750265,-5.293366,6.9288545
cell21basal.abf,4,Burst,Square Wave,0.040899999999998826,2,0.0104,-45.555637,13.066267,-62.076,39.81,4.247444,22.338032,-1.87164,30.562042,57110.39,-298646.4,421551.0,0.9487403,25.140106,-5.2848063,6.958782
cell21basal.abf,5,Burst,Square Wave,0.055600000000000094,3,0.01135,-45.164932,13.273789,-61.638,43.844,4.1502295,21.129786,-2.519738,-119.80227,55642.61,-309910.03,456890.0,1.3031913,30.251537,-5.2830334,6.961048
cell21basal.abf,5,Burst,Square Wave,0.07529999999999859,4,0.010799999999999999,-46.314877,12.222583,-61.356,43.531,4.496395,24.784586,-3.4907408,-298.57687,51926.863,-306777.0,416230.03,1.239169,31.18943,-5.2935424,6.9243317
cell21basal.abf,5,Burst,Square Wave,0.13349999999999795,5,0.014824999999999998,-46.67091,9.965429,-62.169,38.684,5.315507,37.004425,-6.2326374,-235.12889,42264.805,-300527.0,419049.0,1.0448905,46.090134,-5.301158,6.898922
cell21basal.abf,7,Burst,Other,0.07929999999999993,2,0.016300000000000002,-49.55825,9.4295635,-65.14,40.591,5.6744943,43.789066,-3.9325223,-380.2398,39952.363,-311780.0,432180.03,1.3211064,61.041603,-5.2909966,6.9140716
cell89basal.abf,0,Burst,Parabolic,4.2490999999999985,76,0.053472,-49.82274,9.44271,-63.17,49.191,5.7494173,45.53152,-211.7115,-0.9715175,24704.959,-194510.0,471270.0,6.655773,130.04677,7.468244,-5.750249
cell89basal.abf,1,Burst,Square Wave,1.5473999999999997,46,0.03338,-46.94587,11.092315,-61.169,49.535,5.0916405,32.608105,-72.65321,-6.1231503,31397.65,-197650.02,511300.03,4.9459352,75.10338,7.2480288,-4.322104
cell89basal.abf,2,Non-burst,Non-burst,0.0157,0,0.0,-43.448402,8.106259,-48.691,35.932,6.877391,59.816704,-0.68151283,5410.5137,35899.617,-5629.9976,389029.03,9.181559,88.48478,7.153324,1.0738422
cell89basal.abf,3,Burst,Parabolic,3.6047000000000002,46,0.07388,-49.937294,8.041492,-61.513,40.247,6.3579407,56.84566,-180.01784,0.85000485,19525.188,-151050.02,412790.0,7.2531705,166.68933,7.2563396,-4.2661405
cell89basal.abf,3,Burst,Square Wave,0.9471000000000007,14,0.06389999999999998,-48.030914,8.50696,-59.887,38.121,5.895731,48.464996,-45.49861,-1.7833452,21044.592,-144170.0,390590.0,6.5807376,141.30443,6.9969597,-1.9487593
cell89basal.abf,3,Burst,Parabolic,3.6532,57,0.062107142857142854,-49.226883,8.517675,-61.825,39.966,6.090294,50.53226,-179.84451,-0.29945835,21294.15,-167620.02,436560.0,6.508694,137.96342,7.3100886,-4.496841
cell89basal.abf,3,Burst,Parabolic,0.2768000000000015,11,0.0219,-45.686703,12.678141,-60.981,45.314,4.402168,23.305466,-12.654851,-23.728302,36630.08,-163863.02,429680.03,4.024174,50.125782,6.3176165,-2.0516713
cell89basal.abf,4,Burst,Parabolic,2.1957,97,0.021835416666666666,-44.839664,12.440227,-61.137,39.935,3.7802095,19.190872,-98.458145,-1.9370445,29333.756,-146978.02,380901.0,4.085956,53.80644,7.49841,-5.8393664
cell89basal.abf,4,Burst,Parabolic,0.6645000000000003,16,0.03934666666666666,-46.63336,10.547424,-61.325,42.749,4.8788095,31.615532,-30.996487,-9.553057,26624.324,-148550.0,410610.03,4.8969593,81.86806,6.6593375,-2.0814075
cell89basal.abf,4,Burst,Parabolic,2.439400000000001,88,0.027570114942528732,-46.286648,11.474545,-60.887,42.968,4.1583676,23.351042,-112.9202,-2.9740844,27003.621,-149795.02,430622.03,4.627428,69.94777,7.4887905,-5.815373
cell89basal.abf,4,Burst,Parabolic,2.3148999999999997,47,0.04715652173913044,-48.626793,10.603627,-63.67,41.154,3.7318952,24.67529,-112.5748,-2.9314523,22898.518,-152920.02,400910.0,5.3782988,102.676765,7.242061,-4.341842
cell89basal.abf,4,Burst,Parabolic,1.2434999999999992,17,0.0633875,-49.94429,8.32201,-61.012,41.655,6.2672687,54.698154,-62.109505,-6.086542,21067.389,-158240.0,404666.03,7.1187162,159.9553,7.057964,-2.2405698
cell89basal.abf,4,Burst,Parabolic,0.42870000000000097,18,0.022164705882352944,-44.08314,12.182692,-60.731,41.029,4.191102,21.932657,-18.90667,-13.202705,32076.33,-157300.0,378395.0,3.781244,49.262787,6.4228725,-2.0968964
cell89basal.abf,4,Burst,Parabolic,0.3202999999999996,6,0.03896,-49.246403,10.140738,-60.637,39.278,5.0006447,34.7958,-15.782309,-10.446476,25346.297,-153860.0,397470.0,5.6227174,102.115776,6.6388636,-1.8308578
cell89basal.abf,4,Burst,Square Wave,2.7342999999999975,51,0.051466000000000005,-48.751266,9.136524,-61.231,39.215,5.767849,44.090034,-133.30356,-6.8279457,23186.861,-166060.02,395905.0,5.9936695,117.2939,7.2597837,-4.3902535
cell89basal.abf,5,Burst,Parabolic,4.227800000000001,78,0.05216233766233766,-48.936127,9.151565,-61.857,43.375,5.802631,45.507187,-206.90134,0.28123966,23976.473,-186390.0,444690.03,6.0498056,119.30418,7.387207,-5.707247
