UMAP1,UMAP2,Burst_Type
-3.0487683,3.66721,Square Wave
-0.88342893,3.8560889,Square Wave
-2.896392,3.3326445,Square Wave
-2.9221516,3.1363978,Square Wave
2.6821668,7.932938,Square Wave
-2.9086504,3.1545267,Square Wave
-2.9354007,3.2148142,Square Wave
-2.909236,3.1533923,Square Wave
-1.2107118,4.1053567,Square Wave
-3.0463288,3.7003686,Square Wave
-2.1245916,3.9536145,Square Wave
-2.879841,3.7236779,Square Wave
12.782224,0.13381438,Non-burst
11.413517,0.019376118,Non-burst
11.164524,0.040758703,Non-burst
11.293038,0.1573738,Non-burst
12.799862,0.086207956,Non-burst
12.784203,0.122875,Non-burst
11.684919,0.14977536,Non-burst
12.929533,0.3304147,Non-burst
11.71544,-0.0069779656,Non-burst
12.925573,0.20926386,Non-burst
12.835227,0.1697738,Non-burst
12.9027605,0.08642204,Non-burst
12.694103,0.117171206,Non-burst
11.984681,0.38279495,Non-burst
12.773617,0.15044953,Non-burst
11.59063,0.23718792,Non-burst
11.872794,0.4661776,Non-burst
11.392244,0.20711711,Non-burst
12.923927,0.19155379,Non-burst
8.112594,3.9660313,Non-burst
9.03643,1.1072289,Non-burst
1.5470049,8.0029335,Square Wave
1.5326785,8.017926,Square Wave
1.5106474,8.2401705,Square Wave
1.649581,8.032627,Square Wave
10.824971,3.151079,Non-burst
10.0441675,2.5900898,Non-burst
10.389514,2.8164563,Non-burst
7.991327,3.571271,Non-burst
9.143019,1.2137259,Non-burst
3.0027375,9.166457,Square Wave
2.121428,8.573145,Square Wave
1.6857052,8.04957,Square Wave
1.7020812,8.051577,Square Wave
10.123137,2.6965728,Non-burst
10.585935,2.9904635,Non-burst
10.300979,2.77693,Non-burst
7.984172,4.054123,Non-burst
9.711747,2.3079135,Non-burst
1.8423952,8.236468,Square Wave
1.7431939,8.151687,Square Wave
1.7209944,8.034455,Square Wave
1.7171031,8.026546,Square Wave
10.524277,2.9401367,Non-burst
10.640733,3.079242,Non-burst
10.480053,2.8816526,Non-burst
7.951615,4.256272,Non-burst
9.661381,1.831111,Non-burst
6.234244,10.806709,Other
7.987564,3.47637,Non-burst
9.218088,1.3635737,Non-burst
12.299378,1.2275159,Parabolic
6.2356763,10.545458,Parabolic
9.687001,2.7670798,Non-burst
7.9355955,4.2441893,Non-burst
8.883203,0.34873706,Non-burst
6.2101846,11.327746,Parabolic
6.254588,11.159595,Parabolic
6.2025385,10.297668,Parabolic
6.2815604,11.201773,Parabolic
10.252797,2.6461992,Non-burst
9.745027,4.6677575,Non-burst
10.610888,3.667613,Non-burst
7.881347,4.2306957,Non-burst
8.135512,13.110178,Non-burst
7.649191,2.8230603,Non-burst
8.054566,13.11864,Non-burst
5.9937205,11.4132395,Other
7.7476945,4.4842906,Non-burst
7.616513,13.178215,Non-burst
5.4120054,7.8581114,Parabolic
5.461545,7.8606744,Parabolic
6.7995815,7.9193044,Parabolic
5.8022313,7.8070335,Parabolic
6.5371156,8.912932,Non-burst
6.411453,12.197838,Non-burst
7.908784,13.195389,Non-burst
7.6000896,13.148033,Non-burst
6.5207434,7.9931507,Non-burst
6.653559,7.5339646,Other
8.126544,13.087787,Non-burst
8.083693,13.110801,Non-burst
6.724369,7.515663,Other
6.348153,12.761116,Non-burst
8.120641,13.097995,Non-burst
8.129614,13.027929,Non-burst
5.451494,7.8569655,Other
8.079589,13.074246,Non-burst
8.146922,13.058203,Non-burst
8.110729,13.133772,Non-burst
8.139363,13.07323,Non-burst
8.119518,13.053189,Non-burst
7.633164,2.9069128,Non-burst
9.605404,1.8010972,Non-burst
4.1787496,8.830177,Other
7.710513,4.064683,Non-burst
7.5962105,2.8593163,Non-burst
9.579174,1.7910632,Non-burst
3.00694,9.095164,Other
7.7010627,3.5542834,Non-burst
9.699727,1.8463323,Non-burst
3.470974,8.848175,Square Wave
2.707461,8.207001,Square Wave
10.137879,3.2659802,Non-burst
7.7974114,4.3301244,Non-burst
9.668871,1.8629735,Non-burst
2.702864,8.2058115,Other
7.860148,4.1997795,Non-burst
7.699911,3.2772791,Non-burst
7.5290604,2.7783058,Non-burst
9.6706505,1.8786924,Non-burst
4.1735444,8.779837,Other
7.667012,3.5947955,Non-burst
9.645307,1.9569116,Non-burst
3.5074754,8.941061,Other
7.639402,3.5854516,Non-burst
9.635118,1.849198,Non-burst
3.5463428,8.8304405,Square Wave
3.5684848,8.882948,Square Wave
11.456925,0.20673656,Non-burst
7.643886,3.5841284,Non-burst
9.05987,1.161439,Non-burst
3.1331182,8.187637,Square Wave
3.5253632,8.834715,Square Wave
3.5870125,8.86188,Square Wave
9.920348,1.9357193,Non-burst
11.20563,0.104994744,Non-burst
7.907945,4.2677727,Non-burst
7.621143,2.6670756,Non-burst
9.626361,1.9645588,Non-burst
4.2246394,8.827607,Other
7.693544,3.5425234,Non-burst
7.6605268,2.6334977,Non-burst
9.571158,1.7698755,Non-burst
6.0104403,13.643483,Parabolic
6.0337644,13.610828,Parabolic
9.627605,4.972768,Non-burst
7.536596,5.425656,Non-burst
9.466924,1.6048775,Non-burst
