spike,spike_index,spike_time,inst_freq,isi_s,width,rise_half_ms,decay_half_ms,spike_peak,spike_amplitude
27,49129,4.9129,32.362459546925564,0.0309,0.6384418352732609,0.19606146371661454,0.44238037155664645,41.404998779296875,101.10400009155273
28,49421,4.9421,34.24657534246575,0.0292,0.6585721317343995,0.16982182290157652,0.48875030883282305,40.49800109863281,99.94700241088867
29,49702,4.9702,35.587188612099645,0.0281,0.6496856837169617,0.23419757170704542,0.4154881120099162,40.435001373291016,98.50800323486328
30,50056,5.0056,28.248587570621467,0.0354,0.6430733835055434,0.1752757166097581,0.4677976668957854,40.810001373291016,100.13400268554688
31,50328,5.0328,36.76470588235294,0.0272,0.6525899186664901,0.24125047696506954,0.41133944170142056,39.90299987792969,98.72600173950195
32,50667,5.0667,29.498525073746315,0.0339,0.6559223601616395,0.23216241220361553,0.42375994795802396,40.810001373291016,99.88300323486328
33,50990,5.099,30.959752321981423,0.0323,0.6516983578272629,0.17028275102857152,0.48141560679869144,40.12200164794922,98.78900146484375
34,51359,5.1359,27.100271002710027,0.0369,0.6377208161851741,0.19932703770391527,0.43839377848125877,41.27899932861328,101.04000091552734
35,51740,5.174,26.246719160104984,0.0381,0.6467042703574407,0.21180644393825787,0.43489782641918284,40.52899932861328,99.66500091552734
36,52097,5.2097,28.011204481792713,0.0357,0.6523696936332272,0.1798181810961978,0.4725515125370293,40.685001373291016,99.97700119018555
37,52474,5.2474,26.525198938992045,0.0377,0.6663499595699249,0.15872316370441694,0.5076267958655081,39.715999603271484,98.85200119018555
38,52825,5.2825,28.49002849002849,0.0351,0.644599668844603,0.18973748597345547,0.45486218287114755,41.56100082397461,101.35400009155273
39,53165,5.3165,29.41176470588235,0.034,0.6498682552337414,0.19116740142926575,0.4587008538044756,40.77899932861328,99.32099914550781
40,53518,5.3518,28.328611898016998,0.0353,0.6488635234563844,0.2122048955243372,0.43665862793204724,40.49800109863281,99.47800064086914
41,53950,5.395,23.148148148148145,0.0432,0.660493955839047,0.18038983189180727,0.4801041239472397,41.02899932861328,100.19599914550781
42,54366,5.4366,24.03846153846154,0.0416,0.6584861152019584,0.17415293902231496,0.4843331761796435,40.90399932861328,100.50899887084961
43,54760,5.476,25.38071065989848,0.0394,0.6752483573058271,0.264693753975007,0.4105546033308201,39.40299987792969,98.94599914550781
44,55105,5.5105,28.98550724637681,0.0345,0.6655925114784622,0.22608647050801664,0.4395060409704456,40.65399932861328,100.07099914550781
45,55448,5.5448,29.15451895043732,0.0343,0.6519363477149455,0.21600956585098174,0.4359267818639637,40.685001373291016,99.60200119018555
46,55841,5.5841,25.44529262086514,0.0393,0.652573916745314,0.23447778596892022,0.4180961307763937,40.87300109863281,99.75900268554688
47,56264,5.6264,23.64066193853428,0.0423,0.6391452010444482,0.1991435352138069,0.44000166583064126,40.84199905395508,99.6969985961914
48,56629,5.6629,27.397260273972606,0.0365,0.6511591677146498,0.1945422600278107,0.4566169076868391,41.02899932861328,100.91600036621094
49,57047,5.7047,23.923444976076556,0.0418,0.6589934342773631,0.1962929355468077,0.4627004987305554,40.465999603271484,99.06999969482422
50,57483,5.7483,22.93577981651376,0.0436,0.6569407800023328,0.17627793867432046,0.4806628413280123,40.84199905395508,99.9469985961914
51,57857,5.7857,26.7379679144385,0.0374,0.6544701841718051,0.18939765610266476,0.4650725280691404,40.62300109863281,99.85300064086914
52,58293,5.8293,22.93577981651376,0.0436,0.6660191075541662,0.16965534596747603,0.4963637615866901,40.65399932861328,100.13399887084961
53,58664,5.8664,26.954177897574123,0.0371,0.6517898875907122,0.1858712317320169,0.4659186558586953,40.90399932861328,100.4469985961914
54,59061,5.9061,25.188916876574307,0.0397,0.6525189753236191,0.20486844403276336,0.44765053129085575,40.87300109863281,99.54000091552734
55,59499,5.9499,22.831050228310502,0.0438,0.6435953099135077,0.19615671474966803,0.44743859516383966,40.71699905395508,99.79000091552734
56,59838,5.9838,29.498525073746315,0.0339,0.6646252597718558,0.2011202841407794,0.4635049756310764,40.62300109863281,99.97800064086914
57,60234,6.0234,25.25252525252525,0.0396,0.646917753303569,0.20337984208890703,0.443537911214662,40.77899932861328,100.3219985961914
58,60634,6.0634,25.0,0.04,0.6638260417545098,0.1793154855899047,0.4845105561646051,40.590999603271484,99.60200119018555
59,61058,6.1058,23.58490566037736,0.0424,0.6633164826045685,0.17760260509094222,0.4857138775136264,40.15399932861328,99.00899887084961
60,61490,6.149,23.148148148148145,0.0432,0.6689867577224504,0.1730092200654326,0.4959775376570178,40.37300109863281,99.38400268554688
61,61893,6.1893,24.813895781637715,0.0403,0.6691428895479475,0.23011087176055298,0.4390320177873946,40.37300109863281,99.60300064086914
62,62292,6.2292,25.06265664160401,0.0399,0.670899017056945,0.1798922506037343,0.49100676645321073,40.465999603271484,99.69599914550781
63,62786,6.2786,20.242914979757085,0.0494,0.6663074009244155,0.2022899037525349,0.4640174971718807,40.685001373291016,100.47800064086914
64,63231,6.3231,22.471910112359552,0.0445,0.6681943400042656,0.23700701727575507,0.43118732272851046,40.37300109863281,100.26000213623047
65,63687,6.3687,21.929824561403507,0.0456,0.6526230790332193,0.20887147870234912,0.44375160033087013,40.65399932861328,100.5719985961914
66,64151,6.4151,21.551724137931036,0.0464,0.6489745058272092,0.19223125645585243,0.4567432493713568,40.465999603271484,99.85200119018555
67,64548,6.4548,25.188916876574307,0.0397,0.6797138894820819,0.24784627558328792,0.4318676138987939,39.90299987792969,99.47700119018555
68,64987,6.4987,22.779043280182233,0.0439,0.6686246423385456,0.21219413358994643,0.4564305087485991,40.15399932861328,99.88399887084961
69,65451,6.5451,21.551724137931036,0.0464,0.6535886638463125,0.20911955260526155,0.444469111241051,41.18600082397461,101.13500213623047
70,65911,6.5911,21.73913043478261,0.046,0.6775508464153972,0.2613547820728854,0.41619606434251183,39.77799987792969,99.50799942016602
71,66397,6.6397,20.5761316872428,0.0486,0.6722206547347014,0.25145623337302825,0.42076442136167314,40.090999603271484,100.38399887084961
72,66876,6.6876,20.876826722338205,0.0479,0.6905744884163141,0.2622286753321532,0.4283458130841609,39.558998107910156,99.41399765014648
73,67385,6.7385,19.646365422396855,0.0509,0.6839228760843981,0.1701538798675756,0.5137689962168224,39.77799987792969,100.07099914550781
74,67848,6.7848,21.598272138228943,0.0463,0.6619243481865851,0.19437033977592363,0.46755400841066147,40.84199905395508,101.0099983215332
75,68273,6.8273,23.52941176470588,0.0425,0.656148399959784,0.21201667603309032,0.44413172392669364,40.590999603271484,100.10200119018555
76,68821,6.8821,18.248175182481752,0.0548,0.667475407011807,0.19138794876926113,0.47608745824254584,40.685001373291016,100.57200241088867
77,69359,6.9359,18.587360594795538,0.0538,0.6700009265725384,0.22133119736390655,0.4486697292086319,41.12300109863281,101.47900009155273
78,69868,6.9868,19.646365422396855,0.0509,0.6682969412577222,0.2500603441338171,0.4182365971239051,40.65399932861328,100.60300064086914
79,70414,7.0414,18.315018315018314,0.0546,0.653959369083168,0.19093160582415294,0.46302776325901507,40.96699905395508,101.322998046875
80,70898,7.0898,20.66115702479339,0.0484,0.6644895524688763,0.2516549669133383,0.4128345855555381,40.12200164794922,100.07100296020508
81,71405,7.1405,19.72386587771203,0.0507,0.654007563921914,0.203387966324226,0.450619597597688,40.84199905395508,100.9469985961914
82,71921,7.1921,19.37984496124031,0.0516,0.654273781790107,0.1944709653733298,0.4598028164167772,40.65399932861328,100.5719985961914
83,72489,7.2489,17.6056338028169,0.0568,0.6531322067879956,0.19296785097103566,0.46016435581695986,41.34199905395508,101.79100036621094
84,73098,7.3098,16.420361247947454,0.0609,0.652419880645175,0.19791471050702966,0.45450517013814534,41.27899932861328,101.8849983215332
